Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"October 31, 2024",BC-IP168Footnote *  Regional District of Qathet,British Columbia,non-commercial,poultry,PCZ-241,Revoked
"October 31, 2024",BC-IP167Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"October 30, 2024",BC-IP166Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 30, 2024",BC-IP165Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"October 28, 2024",BC-IP164Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 27, 2024",BC-IP163Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 25, 2024",BC-IP162Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 29, 2024",SK-IP45Footnote *  Rural Municipality of Willner no. 253,Saskatchewan,commercial,poultry,PCZ-238,Revoked
"October 21, 2024",BC-IP161Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-237 Revoked
"October 21, 2024",BC-IP160Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 21, 2024",BC-IP159Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"February 19, 2024",AB-IP82Footnote *  Mountain View County,Alberta,commercial,poultry,PCZ-235,Revoked
"February 9, 2024",AB-IP81Footnote *  Vermilion River County,Alberta,non-commercial,poultry,PCZ-234,Revoked
"December 20, 2023",AB-IP80Footnote *  Cypress County,Alberta,non-commercial,non-poultry,,
"December 8, 2023",AB-IP79Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-227,Revoked
"December 5, 2023",AB-IP78Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-226,Revoked
"November 27, 2023",AB-IP77Footnote *  Lethbridge County,Alberta,commercial,poultry,PCZ-224,Revoked
"November 26, 2023",AB-IP76Footnote *  Lac Ste. Anne County,Alberta,commercial,poultry,PCZ-223,Revoked
"November 24, 2023",AB-IP75Footnote *  Municipal District of Taber,Alberta,non-commercial,poultry,PCZ-222,Revoked
"November 21, 2023",AB-IP74Footnote *  Saint Paul County,Alberta,non-commercial,non-poultry,,
"November 14, 2023",AB-IP73Footnote *  County of Vermilion River,Alberta,non-commercial,non-poultry,,
"November 9, 2023",AB-IP72Footnote *  Sturgeon County,Alberta,non-commercial,non-poultry,,
"November 6, 2023",AB-IP71Footnote *  Municipal District of Willow Creek,Alberta,commercial,poultry,PCZ-209,Revoked
"October 23, 2023",AB-IP70Footnote *  Athabasca County,Alberta,commercial,poultry,PCZ-198,Revoked
"October 18, 2023",AB-IP69Footnote *  Stettler County,Alberta,non-commercial,non-poultry,,
"October 11, 2023",AB-IP68Footnote *  Parkland County,Alberta,non-commercial,poultry,PCZ-196,Revoked
"October 6, 2023",AB-IP67Footnote *  Municipal District of Greenview,Alberta,commercial,poultry,PCZ-195,Revoked
"October 3, 2023",AB-IP66Footnote *  Cardston County,Alberta,commercial,poultry,PCZ-194,Revoked
"September 26, 2023",AB-IP65Footnote *  Strathcona County,Alberta,commercial,poultry,PCZ-193,Revoked
"September 26, 2023",AB-IP64Footnote *  Municipal District of Smoky River,Alberta,non-commercial,non-poultry,,
"September 22, 2023",AB-IP63Footnote *  Red Deer Country,Alberta,non-commercial,non-poultry,,
"September 11, 2023",AB-IP62Footnote *  Warner County,Alberta,commercial,poultry,PCZ-191,Revoked
"April 21, 2023",AB-IP61Footnote *  Lacombe County,Alberta,non-commercial,non-poultry,,
"November 22, 2022",AB-IP60Footnote *  Mountain View County,Alberta,non-commercial,poultry,PCZ-157,Revoked
"November 16, 2022",AB-IP59Footnote *  County of Forty Mile,Alberta,commercial,poultry,PCZ-147,Revoked
"November 7, 2022",AB-IP58Footnote *  Minburn County,Alberta,non-commercial,non-poultry,,
"November 3, 2022",AB-IP57Footnote *  Lethbridge County,Alberta,commercial,poultry,PCZ-144,Revoked
"October 27, 2022",AB-IP56Footnote *  Clear Hills County,Alberta,commercial,poultry,PCZ-142,Revoked
"October 26, 2022",AB-IP55Footnote *  Mountain View County,Alberta,non-commercial,non-poultry,,
"October 24, 2022",AB-IP54Footnote *  Red Deer County,Alberta,non-commercial,non-poultry,,
"October 18, 2022",AB-IP53Footnote *  Rocky View County,Alberta,non-commercial,non-poultry,,
"October 14, 2022",AB-IP52Footnote *  Lacombe County,Alberta,non-commercial,non-poultry,,
"October 13, 2022",AB-IP51Footnote *  Wetaskiwin County,Alberta,non-commercial,non-poultry,,
"October 3, 2022",AB-IP50Footnote *  Sturgeon County,Alberta,non-commercial,poultry,PCZ-113,Revoked
"September 28, 2022",AB-IP49Footnote *  Beaver County,Alberta,commercial,poultry,PCZ-106,Revoked
"September 27, 2022",AB-IP48Footnote *  Camrose County,Alberta,commercial,poultry,PCZ-102,Revoked
"September 27, 2022",AB-IP47Footnote *  Mountain View County,Alberta,non-commercial,poultry,PCZ-103,Revoked
"September 24, 2022",AB-IP46Footnote *  Sturgeon County,Alberta,non-commercial,poultry,PCZ-100,Revoked
"September 23, 2022",AB-IP45Footnote *  Municipal District of Willow Creek,Alberta,commercial,poultry,PCZ-98,Revoked
"September 21, 2022",AB-IP44Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-96,Revoked
"September 20, 2022",AB-IP43Footnote *  Athabasca County,Alberta,commercial,poultry,PCZ-95,Revoked
"September 20, 2022",AB-IP42Footnote *  Municipal District of Taber,Alberta,commercial,poultry,PCZ-93,Revoked
"September 18, 2022",AB-IP41Footnote *  Smoky Lake County,Alberta,commercial,poultry,PCZ-89,Revoked
"September 17, 2022",AB-IP40Footnote *  County of Warner,Alberta,commercial,poultry,PCZ-90,Revoked
"September 16, 2022",AB-IP39Footnote *  Municipal District of Wainwright,Alberta,commercial,poultry,PCZ-88,Revoked
"September 15, 2022",AB-IP38Footnote *  Wetaskiwin County,Alberta,commercial,poultry,PCZ-86,Revoked
"September 12, 2022",AB-IP37Footnote *  Municipal District of Willow Creek,Alberta,commercial,poultry,PCZ-82,Revoked
"September 12, 2022",AB-IP36Footnote *  Starland County,Alberta,commercial,poultry,PCZ-81,Revoked
"September 4, 2022",AB-IP35Footnote *  Strathcona County,Alberta,commercial,poultry,PCZ-79,Revoked
"August 31, 2022",AB-IP34Footnote *  Sturgeon County,Alberta,commercial,poultry,PCZ-78,Revoked
"August 23, 2022",AB-IP33Footnote *  Athabasca County,Alberta,commercial,poultry,PCZ-77,Revoked
"July 28, 2022",AB-IP32Footnote *  Stettler County,Alberta,commercial,poultry,PCZ-75,Revoked
"June 2, 2022",AB-IP31Footnote *  Clear Hills County,Alberta,non-commercial,non-poultry,,
"June 2, 2022",AB-IP30Footnote *  Municipality of Wainwright,Alberta,non-commercial,non-poultry,,
"May 21, 2022",AB-IP29Footnote *  Cypress County,Alberta,non-commercial,non-poultry,,
"May 13, 2022",AB-IP28Footnote *  Municipal District of Provost,Alberta,non-commercial,non-poultry,,
"May 11, 2022",AB-IP27Footnote *  Foothills County,Alberta,non-commercial,non-poultry,,
"May 11, 2022",AB-IP26Footnote *  The County of Two Hills,Alberta,commercial,poultry,PCZ-61,Revoked
"May 11, 2022",AB-IP25Footnote *  The County of Two Hills,Alberta,non-commercial,non-poultry,,
"May 5, 2022",AB-IP24Footnote *  Newell County,Alberta,commercial,poultry,PCZ-59,Revoked
"May 1, 2022",AB-IP23Footnote *  Lethbridge County,Alberta,commercial,poultry,PCZ-50,Revoked
"May 1, 2022",AB-IP22Footnote *  Municipality of Wainright,Alberta,commercial,poultry,PCZ-49,Revoked
"May 1, 2022",AB-IP21Footnote *  County of Two Hills,Alberta,non-commercial,poultry,PCZ-48,Revoked
"April 29, 2022",AB-IP20Footnote *  Camrose County,Alberta,non-commercial,non-poultry,,
"April 27, 2022",AB-IP19Footnote *  Vermilion River County,Alberta,non-commercial,non-poultry,,
"April 25, 2022",AB-IP18Footnote *  Camrose County,Alberta,commercial,poultry,PCZ-43,Revoked
"April 24, 2022",AB-IP17Footnote *  Camrose County,Alberta,commercial,poultry,PCZ-39,Revoked
"April 23, 2022",AB-IP16Footnote *  Rocky View County,Alberta,non-commercial,non-poultry,,
"April 21, 2022",AB-IP15Footnote *  Sturgeon County,Alberta,non-commercial,non-poultry,,
"April 21, 2022",AB-IP14Footnote *  Wetaskiwin County,Alberta,commercial,poultry,PCZ-37,Revoked
"April 20, 2022",AB-IP13Footnote *  Kneehill County,Alberta,commercial,poultry,PCZ-34,Revoked
"April 15, 2022",AB-IP12Footnote *  Cardston County,Alberta,commercial,poultry,PCZ-31,Revoked
"April 14, 2022",AB-IP11Footnote *  Mountain View County,Alberta,non-commercial,poultry,PCZ-27,Revoked
"April 14, 2022",AB-IP10Footnote *  Warner County,Alberta,commercial,poultry,PCZ-26,Revoked
"April 14, 2022",AB-IP09Footnote *  Kneehill County,Alberta,commercial,poultry,PCZ-25,Revoked
"April 12, 2022",AB-IP08Footnote *  Mountain View County,Alberta,commercial,poultry,PCZ-20,Revoked
"April 11, 2022",AB-IP07Footnote *  Camrose County,Alberta,commercial,poultry,PCZ-19,Revoked
"April 10, 2022",AB-IP06Footnote *  Wetaskiwin County,Alberta,commercial,poultry,PCZ-17,Revoked
"April 9, 2022",AB-IP05Footnote *  Paintearth County,Alberta,commercial,poultry,PCZ-16,Revoked
"April 8, 2022",AB-IP04Footnote *  Kneehill County,Alberta,commercial,poultry,PCZ-15,Revoked
"April 6, 2022",AB-IP03Footnote *  Ponoka County,Alberta,commercial,poultry,PCZ-14,Revoked
"April 6, 2022",AB-IP02Footnote *  Mountain View County,Alberta,commercial,poultry,PCZ-13,Revoked
"April 6, 2022",AB-IP01Footnote *  Mountain View County,Alberta,commercial,poultry,PCZ-11,Revoked
"December 25, 2023",BC-IP158Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-221,Revoked
"December 14, 2023",BC-IP157Footnote *  Regional District of North Okanagan,British Columbia,non-commercial,poultry,PCZ-228,Revoked
"December 9, 2023",BC-IP156Footnote *  Regional District of Central Okanagan,British Columbia,non-commercial,non-poultry,,
"December 9, 2023",BC-IP155Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-211,Revoked
"December 3, 2023",BC-IP154Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"December 1, 2023",BC-IP153Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-220,Revoked
"November 25, 2023",BC-IP152Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 25, 2023",BC-IP151Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-221,Revoked
"November 24, 2023",BC-IP150Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 24, 2023",BC-IP149Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-220,Revoked
"November 23, 2023",BC-IP148Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 23, 2023",BC-IP147Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 22, 2023",BC-IP146Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 22, 2023",BC-IP145Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 22, 2023",BC-IP144Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 20, 2023",BC-IP143Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 19, 2023",BC-IP142Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 18, 2023",BC-IP141Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 17, 2023",BC-IP140Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 17, 2023",BC-IP139Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 17, 2023",BC-IP138Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 17, 2023",BC-IP137Footnote *  City of Surrey,British Columbia,commercial,poultry,PCZ-218,Revoked
"November 15, 2023",BC-IP136Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-213,Revoked
"November 14, 2023",BC-IP135Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 13, 2023",BC-IP134Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 13, 2023",BC-IP133Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 12, 2023",BC-IP132Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 12, 2023",BC-IP131Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-200,Revoked
"November 10, 2023",BC-IP130Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 10, 2023",BC-IP129Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 10, 2023",BC-IP128Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-207,Revoked
"November 10, 2023",BC-IP127Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 8, 2023",BC-IP126Footnote *  Fraser Valley Regional District,British Columbia,commercial,poultry,PCZ-212,Revoked
"November 8, 2023",BC-IP125Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-200,Revoked
"November 8, 2023",BC-IP124Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 8, 2023",BC-IP123Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 8, 2023",BC-IP122Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-213,Revoked
"November 8, 2023",BC-IP121Footnote *  Town of Qualicum Beach,British Columbia,non-commercial,poultry,PCZ-215,Revoked
"November 7, 2023",BC-IP120Footnote *  Thompson-Nicola Regional District,British Columbia,non-commercial,non-poultry,,
"November 7, 2023",BC-IP119Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 7, 2023",BC-IP118Footnote *  Regional District of Mount Waddington,British Columbia,non-commercial,non-poultry,,
"November 7, 2023",BC-IP117Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP116Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP115Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP114Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 7, 2023",BC-IP113Footnote *  Fraser Valley Regional District,British Columbia,commercial,poultry,PCZ-212,Revoked
"November 7, 2023",BC-IP112Footnote *  District of Kent,British Columbia,commercial,poultry,PCZ-210,Revoked
"November 4, 2023",BC-IP111Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-207,Revoked
"November 4, 2023",BC-IP110Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 2, 2023",BC-IP109Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"October 26, 2023",BC-IP108Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"October 25, 2023",BC-IP107Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-200,Revoked
"October 24, 2023",BC-IP106Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-199,Revoked
"October 20, 2023",BC-IP105Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-197,Revoked
"April 29, 2023",BC-IP104Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-189,Revoked
"January 22, 2023",BC-IP103Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 18, 2023",BC-IP102Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 14, 2023",BC-IP101Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 13, 2023",BC-IP100Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 11, 2023",BC-IP099Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 7, 2023",BC-IP098Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 6, 2023",BC-IP097Footnote *  Alberni-Clayoquot Regional District,British Columbia,non-commercial,poultry,PCZ-171,Revoked
"January 6, 2023",BC-IP096Footnote *  District of Tofino,British Columbia,non-commercial,poultry,PCZ-170,Revoked
"December 29, 2022",BC-IP095Footnote *  District of Summerland,British Columbia,non-commercial,poultry,PCZ-169,Revoked
"December 28, 2022",BC-IP094Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 27, 2022",BC-IP093Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 23, 2022",BC-IP092Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 23, 2022",BC-IP091Footnote *  City of Delta,British Columbia,non-commercial,poultry,PCZ-168,Revoked
"December 22, 2022",BC-IP090Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 20, 2022",BC-IP089Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 20, 2022",BC-IP088Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 18, 2022",BC-IP087Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 15, 2022",BC-IP086Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 13, 2022",BC-IP085Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 13, 2022",BC-IP084Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 12, 2022",BC-IP083Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 11, 2022",BC-IP082Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 10, 2022",BC-IP081Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 10, 2022",BC-IP080Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 10, 2022",BC-IP079Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 9, 2022",BC-IP078Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-165,Revoked
"December 9, 2022",BC-IP077Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 9, 2022",BC-IP076Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 7, 2022",BC-IP075Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 7, 2022",BC-IP074Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 7, 2022",BC-IP073Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-152,Revoked
"December 7, 2022",BC-IP072Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-164,Revoked
"December 6, 2022",BC-IP071Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 6, 2022",BC-IP070Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 6, 2022",BC-IP069Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 5, 2022",BC-IP068Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 4, 2022",BC-IP067Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 4, 2022",BC-IP066Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 3, 2022",BC-IP065Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 2, 2022",BC-IP064Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 3, 2022",BC-IP063Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 2, 2022",BC-IP062Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 1, 2022",BC-IP061Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 30, 2022",BC-IP060Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 29, 2022",BC-IP059Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-161,Revoked
"November 26, 2022",BC-IP058Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 27, 2022",BC-IP057Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 27, 2022",BC-IP056Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 27, 2022",BC-IP055Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-159,Revoked
"November 27, 2022",BC-IP054Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 27, 2022",BC-IP053Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 26, 2022",BC-IP052Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-152,Revoked
"November 26, 2022",BC-IP051Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 26, 2022",BC-IP050Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 26, 2022",BC-IP049Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-152,Revoked
"November 25, 2022",BC-IP048Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-158,Revoked
"November 25, 2022",BC-IP047Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 26, 2022",BC-IP046Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 24, 2022",BC-IP044Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 24, 2022",BC-IP045Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 23, 2022",BC-IP043Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP042Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP041Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 22, 2022",BC-IP040Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 22, 2022",BC-IP039Footnote *  District of Kent,British Columbia,commercial,poultry,PCZ-156,Revoked
"November 22, 2022",BC-IP038Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 21, 2022",BC-IP037Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-155,Revoked
"November 19, 2022",BC-IP036Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 19, 2022",BC-IP035Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 19, 2022",BC-IP034Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-152,Revoked
"November 19, 2022",BC-IP033Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 18, 2022",BC-IP032Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 16, 2022",BC-IP031Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-149,Revoked
"November 16, 2022",BC-IP030Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 14, 2022",BC-IP029Footnote *  Regional District of Bulkley–Nechako,British Columbia,non-commercial,non-poultry,,
"October 20, 2022",BC-IP028Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-133,Revoked
