Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"October 15, 2022",BC-IP027Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-127,Revoked
"October 12, 2022",BC-IP026Footnote *  Langley Township,British Columbia,non-commercial,non-poultry,,
"October 10, 2022",BC-IP025Footnote *  District Municipality of Saanich,British Columbia,non-commercial,poultry,PCZ-125,Revoked
"October 7, 2022",BC-IP024Footnote *  Cowichan Valley Regional District,British Columbia,non-commercial,poultry,PCZ-121,Revoked
"October 6, 2022",BC-IP023Footnote *  Capital Regional District,British Columbia,non-commercial,poultry,PCZ-120,Revoked
"September 27, 2022",BC-IP022Footnote *  District Municipality of North Cowichan,British Columbia,non-commercial,poultry,PCZ-104,Revoked
"September 18, 2022",BC-IP021Footnote *  Township of Spallumcheen,British Columbia,non-commercial,non-poultry,,
"September 15, 2022",BC-IP020Footnote *  Regional District of Cariboo,British Columbia,non-commercial,non-poultry,,
"September 12, 2022",BC-IP019Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ-84,Revoked
"June 18, 2022",BC-IP018Footnote *  Langley Township,British Columbia,non-commercial,poultry,PCZ-72,Revoked
"June 15, 2022",BC-IP017Footnote *  Regional District of Nanaimo,British Columbia,non-commercial,poultry,PCZ-71,Revoked
"June 8, 2022",BC-IP016Footnote *  Langley Township,British Columbia,commercial,poultry,PCZ-70,Revoked
"June 4, 2022",BC-IP015Footnote *  District of Summerland,British Columbia,non-commercial,poultry,PCZ-69,Revoked
"June 4, 2022",BC-IP014Footnote *  District Municipality of Sechelt,British Columbia,non-commercial,poultry,PCZ-68,Revoked
"June 1, 2022",BC-IP013Footnote *  Regional District of Peace River,British Columbia,non-commercial,non-poultry,,
"May 22, 2022",BC-IP012Footnote *  Regional District of Okanagan-Similkameen,British Columbia,non-commercial,poultry,PCZ-66,Revoked
"May 20, 2022",BC-IP011Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-64,Revoked
"May 19, 2022",BC-IP010Footnote *  City of Richmond,British Columbia,captive wild,non-poultry,,
"May 19, 2022",BC-IP009Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ-64,Revoked
"May 10, 2022",BC-IP008Footnote *  Regional District of Comox Valley,British Columbia,non-commercial,poultry,PCZ-60,Revoked
"May 4, 2022",BC-IP007Footnote *  Regional District of North Okanagan,British Columbia,non-commercial,non-poultry,,
"May 4, 2022",BC-IP006Footnote *  Regional District of Central Okanagan,British Columbia,non-commercial,poultry,PCZ-57,Revoked
"May 3, 2022",BC-IP005Footnote *  Regional District of Central Okanagan,British Columbia,non-commercial,non-poultry,,
"May 3, 2022",BC-IP004Footnote *  City of Richmond,British Columbia,non-commercial,poultry,PCZ-54,Revoked
"April 27, 2022",BC-IP003Footnote *  Regional District of Central Kootenay,British Columbia,non-commercial,poultry,PCZ-47,Revoked
"April 25, 2022",BC-IP002Footnote *  City of Kelowna,British Columbia,non-commercial,non-poultry,,
"April 13, 2022",BC-IP001Footnote *  Regional District of North Okanagan,British Columbia,commercial,poultry,PCZ-24,Revoked
"November 24, 2023",MB-IP23Footnote *  Rural Municipality of West St. Paul,Manitoba,non-commercial,non-poultry,,
"November 8, 2023",MB-IP22Footnote *  Municipality of Rhineland,Manitoba,commercial,poultry,PCZ-214,Revoked
"November 17, 2022",MB-IP21Footnote *  Rural Municipality of Woodlands,Manitoba,non-commercial,non-poultry,,
"October 26, 2022",MB-IP20Footnote *  Rural Municipality of Ritchot,Manitoba,commercial,poultry,PCZ-137,Revoked
"October 24, 2022",MB-IP19Footnote *  Rural Municipality of Cartier,Manitoba,commercial,poultry,PCZ-136,Revoked
"October 7, 2022",MB-IP18Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-118,Revoked
"October 6, 2022",MB-IP17Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ-101,Revoked
"October 6, 2022",MB-IP16Footnote *  Rural Municipality of De Salaberry,Manitoba,commercial,poultry,PCZ-115,Revoked
"October 6, 2022",MB-IP15Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ-101,Revoked
"October 5, 2022",MB-IP14Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ-97,Revoked
"October 1, 2022",MB-IP13Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ-112,Revoked
"September 30, 2022",MB-IP12Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-111,Revoked
"September 30, 2022",MB-IP11Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-110,Revoked
"September 27, 2022",MB-IP10Footnote *  Rural Municipality of Rockwood,Manitoba,non-commercial,non-poultry,,
"September 27, 2022",MB-IP09Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ-101,Revoked
"September 25, 2022",MB-IP08Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-92,Revoked
"September 22, 2022",MB-IP07Footnote *  Rural Municipality of Ste. Anne,Manitoba,commercial,poultry,PCZ 97,Revoked
"September 19, 2022",MB-IP06Footnote *  Rural Municipality of Bifrost - Riverton,Manitoba,commercial,poultry,PCZ-92,Revoked
"September 16, 2022",MB-IP05Footnote *  Rural Municipality of Cartier,Manitoba,commercial,poultry,PCZ-87,Revoked
"September 14, 2022",MB-IP04Footnote *  Rural Municipality of Cartier,Manitoba,commercial,poultry,PCZ-85,Revoked
"June 16, 2022",MB-IP03Footnote *  Rural Municipality of Louise,Manitoba,non-commercial,non-poultry,,
"June 14, 2022",MB-IP02Footnote *  Rural Municipality of Harrison Park,Manitoba,non-commercial,non-poultry,,
"April 23, 2022",MB-IP01Footnote *  Rural Municipality of Whitemouth,Manitoba,commercial,poultry,PCZ-35,Revoked
"January 11, 2023",NB-IP02Footnote *  Kent County,New Brunswick,non-commercial,non-poultry,,
"April 25, 2022",NB-IP01Footnote *  Albert County,New Brunswick,non-commercial,poultry,PCZ-42,Revoked
"January 9, 2022",NL-IP02Footnote *  Town of Conception  Bay South,Newfoundland and Labrador,non-commercial,non-poultry,,Released
"December 20, 2021",NL-IP01Footnote *  City of St. John's,Newfoundland and Labrador,non-commercial,non-poultry,,Released
"February 2, 2024",NS-IP08Footnote *  Lunenburg County,Nova Scotia,non-commercial,poultry,PCZ-232,Revoked
"January 9, 2024",NS-IP07Footnote *  Lunenburg County,Nova Scotia,non-commercial,non-poultry,,
"March 4, 2023",NS-IP06Footnote *  Yarmouth County,Nova Scotia,non-commercial,poultry,PCZ-175,Revoked
"February 7, 2023",NS-IP05Footnote *  Lunenburg County,Nova Scotia,non-commercial,non-poultry,,
"March 15, 2022",NS-IP04Footnote *  border of Halifax  County / Lunenburg County,Nova Scotia,non-commercial,non-poultry,,
"February 11, 2022",NS-IP03Footnote *  Hants County,Nova Scotia,commercial,poultry,,
"February 3, 2022",NS-IP02Footnote *  Kings County,Nova Scotia,commercial,poultry,,
"February 1, 2022",NS-IP01Footnote *  Halifax County,Nova Scotia,non-commercial,non-poultry,,
"January 30, 2024",ON-IP49Footnote *  Town of Amherstburg,Ontario,commercial,poultry,PCZ-231,Revoked
"October 19, 2023",ON-IP48Footnote *  City of Kawartha Lakes,Ontario,non-commercial,non-poultry,,
"April 19, 2023",ON-IP47Footnote *  Norfolk County,Ontario,commercial,poultry,PCZ-185,Revoked
"April 5, 2023",ON-IP46Footnote *  Municipality of Middlesex Centre,Ontario,commercial,poultry,PCZ-181,Revoked
"March 14, 2023",ON-IP45Footnote *  Township of West Lincoln,Ontario,commercial,poultry,PCZ-177,Revoked
"March 10, 2023",ON-IP44Footnote *  Municipality of Chatham-Kent,Ontario,non-commercial,poultry,PCZ-176,Revoked
"December 21, 2022",ON-IP43Footnote *  Municipality of Lambton Shores,Ontario,commercial,poultry,PCZ-167,Revoked
"December 17, 2022",ON-IP42Footnote *  Municipality of Lambton Shores,Ontario,commercial,poultry,PCZ-167,Revoked
"December 13, 2022",ON-IP41Footnote *  Municipality of Lambton Shores,Ontario,commercial,poultry,PCZ-167,Revoked
"November 27, 2022",ON-IP40Footnote *  Municipality of North Middlesex,Ontario,commercial,poultry,PCZ-160,Revoked
"November 21, 2022",ON-IP39Footnote *  Municipality of Adelaide Metcalfe,Ontario,commercial,poultry,PCZ-154,Revoked
"November 18, 2022",ON-IP38Footnote *  Municipality of Adelaide Metcalfe,Ontario,commercial,poultry,PCZ-150,Revoked
"October 26, 2022",ON-IP37Footnote *  City of Ottawa,Ontario,non-commercial,poultry,PCZ-138,Revoked
"October 18, 2022",ON-IP36Footnote *  Township of Wellesley,Ontario,commercial,poultry,PCZ-130,Revoked
"October 10, 2022",ON-IP34Footnote *  Township of East Hawkesbury,Ontario,non-commercial,poultry,PCZ-123,Revoked
"October 10, 2022",ON-IP35Footnote *  Township of Alfred and Plantagenet,Ontario,non-commercial,poultry,PCZ-124,Revoked
"October 8, 2022",ON-IP33Footnote *  Township of Alfred and Plantagenet,Ontario,non-commercial,poultry,PCZ-122,Revoked
"October 6, 2022",ON-IP32Footnote *  Township of West Lincoln,Ontario,non-commercial,non-poultry,PCZ-116,Revoked
"September 29, 2022",ON-IP31Footnote *  City of Clarence-Rockland,Ontario,commercial,poultry,PCZ-109,Revoked
"September 21, 2022",ON-IP30Footnote *  Township of Grimsby,Ontario,non-commercial,non-poultry,,
"September 20, 2022",ON-IP29Footnote *  Brant County,Ontario,non-commercial,non-poultry,,
"September 19, 2022",ON-IP28Footnote *  City of Owen Sound,Ontario,non-commercial,non-poultry,,
"September 17, 2022",ON-IP27Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-91,Revoked
"May 18, 2022",ON-IP26Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-65,Revoked
"May 10, 2022",ON-IP25Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-45,Revoked
"May 6, 2022",ON-IP24Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-58,Revoked
"May 4, 2022",ON-IP23Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-55,Revoked
"May 4, 2022",ON-IP22Footnote *  Regional Municipality of Halton,Ontario,non-commercial,poultry,PCZ-52,Revoked
"May 5, 2022",ON-IP21Footnote *  Wellington County,Ontario,non-commercial,poultry,PCZ-51,Revoked
"April 29, 2022",ON-IP20Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-45,Revoked
"April 26, 2022",ON-IP19Footnote *  Huron County,Ontario,commercial,poultry,PCZ-41,Revoked
"April 23, 2022",ON-IP18Footnote *  Peterborough County,Ontario,non-commercial,non-poultry,PCZ-38,Revoked
"April 21, 2022",ON-IP17Footnote *  Regional Municipality of York,Ontario,commercial,poultry,PCZ-33,Revoked
"April 14, 2022",ON-IP16Footnote *  Township of South Glengarry,Ontario,commercial,poultry,PCZ-22,Revoked
"April 14, 2022",ON-IP15Footnote *  City of Markham,Ontario,commercial,poultry,PCZ-06,Revoked
"April 12, 2022",ON-IP14Footnote *  City of Markham,Ontario,commercial,poultry,PCZ-06,Revoked
"April 12, 2022",ON-IP12Footnote *  Township of South Glengarry,Ontario,commercial,poultry,PCZ-10,Revoked
"April 10, 2022",ON-IP07Footnote *  Township of South Glengarry,Ontario,commercial,poultry,PCZ-10,Revoked
"April 9, 2022",ON-IP13Footnote *  Township of West Grey,Ontario,commercial,poultry,PCZ-12,Revoked
"April 6, 2022",ON-IP11Footnote *  City of Markham,Ontario,commercial,poultry,PCZ-09,Revoked
"April 6, 2022",ON-IP10Footnote *  Municipality of Chatham-Kent,Ontario,commercial,poultry,PCZ-08,Revoked
"April 5, 2022",ON-IP09Footnote *  Prince Edward County,Ontario,non-commercial,poultry,PCZ-07,Revoked
"April 5, 2022",ON-IP08Footnote *  City of Markham,Ontario,commercial,poultry,PCZ-06,Revoked
"April 4, 2022",ON-IP06Footnote *  Township of Centre Wellington,Ontario,commercial,poultry,PCZ-05,Revoked
"April 2, 2022",ON-IP05Footnote *  Township of Selwyn,Ontario,non-commercial,poultry,PCZ-04,Revoked
"March 31, 2022",ON-IP04Footnote *  Township of Chippewas of Nawash Unceded First Nation,Ontario,non-commercial,poultry,PCZ-03,Revoked
"March 30, 2022",ON-IP03Footnote *  Township of Woolwich,Ontario,commercial,poultry,PCZ-01,Revoked
"March 28, 2022",ON-IP02Footnote *  Township of Zorra,Ontario,commercial,poultry,PCZ-02,Revoked
"March 27, 2022",ON-IP01Footnote *  Township of Guelph/Eramosa,Ontario,commercial,poultry,PCZ-01,Revoked
"April 10, 2024",QC-IP54Footnote *  Haut-Saint-François Regional County Municipality,Quebec,non-commercial,non-poultry,,
"February 9, 2024",QC-IP53Footnote *  Drummond Regional County Municipality,Quebec,commercial,poultry,PCZ-233,Revoked
"January 3, 2024",QC-IP52Footnote *  Papineau Regional County Municipality,Quebec,commercial,poultry,PCZ-229,Revoked
"December 4, 2023",QC-IP51Footnote *  Les Maskoutains Regional County,Quebec,commercial,poultry,PCZ-225,Revoked
"November 20, 2023",QC-IP50Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-216,Revoked
"November 15, 2023",QC-IP49Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-216,Revoked
"October 25, 2023",QC-IP48Footnote *  Arthabaska Regional County,Quebec,commercial,poultry,PCZ-201,Revoked
"May 6, 2023",QC-IP47Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-190,Revoked
"April 28, 2023",QC-IP46Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-188,Revoked
"April 22, 2023",QC-IP45Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-184,Revoked
"April 22, 2023",QC-IP44Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-184,Revoked
"April 21, 2023",QC-IP43Footnote *  La Vallée-du-Richelieu Regional County Municipality,Quebec,commercial,poultry,PCZ-187,Revoked
"April 19, 2023",QC-IP42Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-184,Revoked
"April 19, 2023",QC-IP41Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-184,Revoked
"April 18, 2023",QC-IP39Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-186,Revoked
"April 18, 2023",QC-IP40Footnote *  La Vallée-du-Richelieu Regional County Municipality,Quebec,commercial,poultry,PCZ-187,Revoked
"April 17, 2023",QC-IP38Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-184,Revoked
"April 13, 2023",QC-IP36Footnote *  Sherbrooke,Quebec,non-commercial,poultry,PCZ-183,Revoked
"April 13, 2023",QC-IP37Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,poultry,PCZ-182,Revoked
"April 4, 2023",QC-IP35Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-180,Revoked
"April 3, 2023",QC-IP34Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-179,Revoked
"April 3, 2023",QC-IP33Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-178,Revoked
"March 27, 2023",QC-IP32Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-178,Revoked
"February 8, 2023",QC-IP31Footnote *  Beauharnois-Salaberry Regional County Municipality,Quebec,commercial,poultry,PCZ-173,Revoked
"February 8, 2023",QC-IP30Footnote *  Le Haut-Saint-Laurent Regional County Municipality,Quebec,commercial,poultry,PCZ-174,Revoked
"February 8, 2023",QC-IP29Footnote *  Beauharnois-Salaberry Regional County Municipality,Quebec,commercial,poultry,PCZ-172,Revoked
"February 2, 2023",QC-IP28Footnote *  Beauharnois-Salaberry regional county municipality,Quebec,commercial,poultry,PCZ-172,Revoked
"February 2, 2023",QC-IP27Footnote *  Le Haut-Saint-Laurent Regional County Municipality,Quebec,commercial,poultry,PCZ-173,Revoked
"February 2, 2023",QC-IP26Footnote *  Beauharnois-Salaberry Regional County Municipality,Quebec,commercial,poultry,PCZ-173,Revoked
"January 31, 2023",QC-IP25Footnote *  Beauharnois-Salaberry Regional County Municipality,Quebec,commercial,poultry,PCZ-172,Revoked
"January 31, 2023",QC-IP24Footnote *  Le Haut-Saint-Laurent Regional County Municipality,Quebec,commercial,poultry,PCZ-172,Revoked
"December 6, 2022",QC-IP23Footnote *  Drummond Regional County Municipality,Quebec,non-commercial,poultry,PCZ-163,Revoked
"November 5, 2022",QC-IP22Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-143,Revoked
"November 2, 2022",QC-IP21Footnote *  Nouvelle-Beauce Regional County Municipality,Quebec,non-commercial,non-poultry,,
"October 31, 2022",QC-IP20Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-143,Revoked
"October 27, 2022",QC-IP19Footnote *  Rouville Regional County Municipality,Quebec,commercial,poultry,PCZ-141,Revoked
"October 22, 2022",QC-IP18Footnote *  L'Érable Regional County Municipality,Quebec,commercial,poultry,PCZ-135,Revoked
"October 18, 2022",QC-IP17Footnote *  La Haute-Yamaska Regional County Municipality,Quebec,commercial,poultry,PCZ-129,Revoked
"October 18, 2022",QC-IP16Footnote *  La Haute-Yamaska Regional County Municipality,Quebec,commercial,poultry,PCZ-128,Revoked
"October 16, 2022",QC-IP15Footnote *  Drummond Regional County Municipality,Quebec,non-commercial,non-poultry,,
"October 15, 2022",QC-IP14Footnote *  Roussillon Regional County Municipality,Quebec,non-commercial,poultry,PCZ-126,Revoked
"October 7, 2022",QC-IP13Footnote *  Les Jardins-de-Napierville Regional County Municipality,Quebec,commercial,poultry,PCZ-117,Revoked
"August 1, 2022",QC-IP12Footnote *  La Jacques-Cartier Regional County Municipality,Quebec,commercial,poultry,PCZ-76,Revoked
"July 21, 2022",QC-IP11Footnote *  La Jacques-Cartier Regional County Municipality,Quebec,commercial,poultry,PCZ-74,Revoked
"July 9, 2022",QC-IP10Footnote *  La Jacques-Cartier Regional County Municipality,Quebec,commercial,poultry,PCZ-73,Revoked
"July 3, 2022",QC-IP09Footnote *  La Jacques-Cartier Regional County Municipality,Quebec,commercial,poultry,PCZ-73,Revoked
"June 28, 2022",QC-IP08Footnote *  La Jacques-Cartier Regional County Municipality,Quebec,commercial,poultry,PCZ-73,Revoked
"May 4, 2022",QC-IP07Footnote *  La Rivière-du-Nord Regional County Municipality,Quebec,non-commercial,non-poultry,,
"May 3, 2022",QC-IP06Footnote *  Le Haut-Saint-Laurent Regional County Municipality,Quebec,non-commercial,poultry,PCZ-53,Revoked
"April 21, 2022",QC-IP05Footnote *  Les Sources Regional County Municipality,Quebec,commercial,poultry,PCZ-32,Revoked
"April 17, 2022",QC-IP04Footnote *  Les Sources Regional County Municipality,Quebec,commercial,poultry,PCZ-28,Revoked
"April 14, 2022",QC-IP03Footnote *  Brome-Missisquoi Regional County Municipality,Quebec,commercial,poultry,PCZ-23,Revoked
"April 13, 2022",QC-IP02Footnote *  Le Haut-Saint-François Regional County Municipality,Quebec,non-commercial,poultry,PCZ-21,Revoked
"April 12, 2022",QC-IP01Footnote *  La Val-Saint-François Regional County Municipality,Quebec,commercial,poultry,PCZ-18,Revoked
"January 15, 2024",SK-IP44Footnote *  Rural Municipality of Leask No. 464,Saskatchewan,non-commercial,poultry,PCZ-230,Revoked
"November 18, 2023",SK-IP43Footnote *  Rural Municipality of Meadow Lake No. 588,Saskatchewan,non-commercial,non-poultry,,
"November 15, 2023",SK-IP42Footnote *  Rural Municipality of Willow Bunch No. 42,Saskatchewan,non-commercial,non-poultry,,
"November 15, 2023",SK-IP41Footnote *  Rural Municipality of Meadow Lake No. 588,Saskatchewan,non-commercial,poultry,PCZ-219,Revoked
"November 11, 2023",SK-IP40Footnote *  Rural Municipality of Bayne No. 371,Saskatchewan,non-commercial,poultry,PCZ-217,Revoked
"November 10, 2023",SK-IP39Footnote *  Rural Municipality of Prince Albert No. 461,Saskatchewan,non-commercial,non-poultry,,
"November 4, 2023",SK-IP38Footnote *  Rural Municipality of Rosthern No. 403,Saskatchewan,commercial,poultry,PCZ-208,Revoked
"November 1, 2023",SK-IP37Footnote *  Rural Municipality of Aberdeen No. 373,Saskatchewan,commercial,poultry,PCZ-205,Revoked
"November 1, 2023",SK-IP36Footnote *  Rural Municipality of Huron No. 223,Saskatchewan,commercial,poultry,PCZ-204,Revoked
"October 31, 2023",SK-IP35Footnote *  Rural Municipality of Fertile Valley No. 285,Saskatchewan,commercial,poultry,PCZ-203,Revoked
"October 31, 2023",SK-IP34Footnote *  Rural Municipality of Laird No. 404,Saskatchewan,commercial,poultry,PCZ-202,Revoked
"September 21, 2023",SK-IP33Footnote *  Rural Municipality of Maple Creek No. 111,Saskatchewan,commercial,poultry,PCZ-192,Revoked
"November 14, 2022",SK-IP32Footnote *  Rural Municipality of Humboldt No. 370,Saskatchewan,commercial,poultry,PCZ-146,Revoked
"November 9, 2022",SK-IP31Footnote *  Rural Municipality of Francis No. 127,Saskatchewan,non-commercial,poultry,PCZ-145,Revoked
"October 27, 2022",SK-IP30Footnote *  Rural Municipality of Fertile Belt No. 183,Saskatchewan,non-commercial,poultry,PCZ-140,Revoked
"October 27, 2022",SK-IP29Footnote *  Rural Municipality of Hoodoo No. 401,Saskatchewan,commercial,poultry,PCZ-139,Revoked
"October 21, 2022",SK-IP28Footnote *  Rural Municipality of Beaver River No. 622,Saskatchewan,non-commercial,poultry,PCZ-134,Revoked
"October 19, 2022",SK-IP27Footnote *  Rural Municipality of Hoodoo No. 401,Saskatchewan,commercial,poultry,PCZ-132,Revoked
"October 19, 2022",SK-IP26Footnote *  Rural Municipality of Fish Creek No. 402,Saskatchewan,non-commercial,poultry,PCZ-131,Revoked
"October 14, 2022",SK-IP25Footnote *  Rural Municipality of Hazel Dell No. 335,Saskatchewan,non-commercial,non-poultry,,
"October 7, 2022",SK-IP24Footnote *  Rural Municipality of Monet No. 257,Saskatchewan,commercial,poultry,PCZ-119,Revoked
"October 5, 2022",SK-IP23Footnote *  Rural Municipality of Lumsden No. 189,Saskatchewan,commercial,poultry,PCZ-114,Revoked
"September 30, 2022",SK-IP22Footnote *  Rural Municipality of Redburn No. 130,Saskatchewan,commercial,poultry,PCZ-107,Revoked
"September 29, 2022",SK-IP21Footnote *  Rural Municipality of Buckland No. 491,Saskatchewan,non-commercial,non-poultry,,
"September 28, 2022",SK-IP20Footnote *  Rural Municipality of Spiritwood No. 496,Saskatchewan,non-commercial,poultry,PCZ-108,Revoked
"September 28, 2022",SK-IP19Footnote *  Rural Municipality of Weyburn No. 67,Saskatchewan,non-commercial,poultry,PCZ-105,Revoked
"September 24, 2022",SK-IP18Footnote *  Rural Municipality of Britannia No. 502,Saskatchewan,commercial,poultry,PCZ-99,Revoked
"September 19, 2022",SK-IP17Footnote *  Rural Municipality of Laird No. 404,Saskatchewan,commercial,poultry,PCZ-94,Revoked
"September 16, 2022",SK-IP16Footnote *  Rural Municipality of Shellbrook No. 493,Saskatchewan,non-commercial,non-poultry,,
"September 12, 2022",SK-IP15Footnote *  Rural Municipality of Cut Knife No. 439,Saskatchewan,commercial,poultry,PCZ-83,Revoked
"September 9, 2022",SK-IP14Footnote *  Rural Municipality of Laird No. 404,Saskatchewan,commercial,poultry,PCZ-80,Revoked
"May 25, 2022",SK-IP13Footnote *  Rural Municipality of Indian Head No. 156,Saskatchewan,non-commercial,poultry,PCZ-67,Revoked
"May 13, 2022",SK-IP12Footnote *  Rural Municipality of Cymri No. 36,Saskatchewan,non-commercial,poultry,PCZ-63,Revoked
"May 13, 2022",SK-IP11Footnote *  Rural Municipality of Moose Jaw No. 161,Saskatchewan,non-commercial,non-poultry,,
"May 13, 2022",SK-IP10Footnote *  Rural Municipality of Golden West No. 95,Saskatchewan,non-commercial,poultry,PCZ-62,Revoked
"May 11, 2022",SK-IP09Footnote *  Rural Municipality of Aberdeen No. 373,Saskatchewan,non-commercial,non-poultry,,
"May 4, 2022",SK-IP08Footnote *  Rural Municipality of Baildon No. 131,Saskatchewan,commercial,poultry,PCZ-56,Revoked
"April 27, 2022",SK-IP07Footnote *  Rural Municipality of Kingsley No. 124,Saskatchewan,non-commercial,poultry,PCZ-46,Revoked
"April 26, 2022",SK-IP06Footnote *  Rural Municipality of Montrose No. 315,Saskatchewan,commercial,poultry,PCZ-44,Revoked
"April 24, 2022",SK-IP05Footnote *  Rural Municipality of Carmichael No. 109,Saskatchewan,commercial,poultry,PCZ-40,Revoked
"April 22, 2022",SK-IP04Footnote *  Rural Municipality of Morse No. 165,Saskatchewan,commercial,poultry,PCZ-36,Revoked
"April 22, 2022",SK-IP03Footnote *  Rural Municipality of Loreburn No. 254,Saskatchewan,non-commercial,non-poultry,,
"April 16, 2022",SK-IP02Footnote *  Rural Municipality of Loreburn No. 254,Saskatchewan,commercial,poultry,PCZ-30A,Revoked
"April 15, 2022",SK-IP01Footnote *  Rural Municipality of Moose Creek No. 63,Saskatchewan,commercial,poultry,PCZ-29,Revoked
